,threshold,weighted_mean_probability,auc,accuracy,Grand lac,Haut lac,Petit lac,split
0,0.01,0.4285789737234021,0.6170068027210884,0.6224489795918368,0.3765976821485938,0.7302797692049658,0.2508864408514936,dsr
1,0.02,0.404832737996502,0.5735524256651017,0.6224489795918368,0.371165405590019,0.6999677024452676,0.2010966445274032,dsr
2,0.03,0.3393814625880703,0.5586124401913876,0.6530612244897959,0.3206228960434176,0.6057567125840336,0.1352572636138316,dsr
3,0.04,0.2807835343255867,0.5879413724183877,0.6632653061224489,0.2313520804496579,0.5352017498503865,0.1406813550505297,dsr
4,0.05,0.2555288057805783,0.5454931972789117,0.673469387755102,0.1825787499122583,0.5264214817367325,0.1417224503310724,dsr
5,0.06,0.2030354861725167,0.5556818181818182,0.8979591836734694,0.1486406448381564,0.4340904197719102,0.0923406393699054,dsr
6,0.0699999999999999,0.1968086725452187,0.5638888888888889,0.9183673469387756,0.1412499586981587,0.4252306551049113,0.0904802269666704,dsr
7,0.08,0.1763149961114223,0.6279434850863421,0.9285714285714286,0.1027144935632932,0.4122581083916993,0.0947071785201417,dsr
8,0.09,0.1640853374762784,0.6279434850863421,0.9285714285714286,0.1101060503581846,0.3793644217936407,0.0666900956590085,dsr
9,0.0999999999999999,0.1574200437897995,0.5924731182795698,0.9489795918367347,0.1054818678338501,0.3500374710334708,0.0766154517928185,dsr
10,0.11,0.152911114379894,0.5924731182795698,0.9489795918367347,0.1010249385404422,0.3464967983898132,0.0711553309804931,dsr
11,0.12,0.1454852471884974,0.5924731182795698,0.9489795918367347,0.1036774302844679,0.3314026349197854,0.0530019171491814,dsr
12,0.13,0.1337243303730456,0.5924731182795698,0.9489795918367347,0.0867907610752608,0.3194774628607932,0.0503096110134137,dsr
13,0.14,0.112278058152857,0.6403508771929824,0.9693877551020408,0.0649920574125335,0.2941141108759466,0.0329586792432666,dsr
14,0.15,0.0956533154677809,0.6403508771929824,0.9693877551020408,0.0470223372239593,0.2790520336076479,0.0172861577678848,dsr
15,0.16,0.0976919479110256,0.6403508771929824,0.9693877551020408,0.0527052887543617,0.2762130034332507,0.0173166756084257,dsr
16,0.17,0.0957525167408931,0.6403508771929824,0.9693877551020408,0.0528679257365333,0.2675156938245815,0.0177250918222409,dsr
17,0.18,0.0759591080440249,0.7005208333333333,0.979591836734694,0.0279530683958735,0.2359914086142253,0.0172742432209993,dsr
18,0.19,0.0803640503208647,0.7005208333333333,0.979591836734694,0.036656531783512,0.2373947845449403,0.0168646336496707,dsr
19,0.2,0.074976334555913,0.7005208333333333,0.979591836734694,0.0342279197970927,0.2206298072110403,0.0164390067759685,dsr
20,0.21,0.0735772308948283,0.7005208333333333,0.979591836734694,0.035808143716527,0.2103933914518797,0.0177090547470847,dsr
21,0.22,0.0734135338923054,0.7005208333333333,0.979591836734694,0.0349938638003714,0.2109321430809844,0.0180534551438834,dsr
22,0.23,0.0538297486030717,0.5598958333333334,0.979591836734694,0.0,0.1990377970561429,0.0184595642130962,dsr
23,0.24,0.0519921105499265,0.5598958333333334,0.979591836734694,0.0,0.191805899057051,0.0182179724638361,dsr
24,0.25,0.0498842202205267,0.5598958333333334,0.979591836734694,0.0,0.1817117798843941,0.0195396616439319,dsr
25,0.26,0.0476670323836562,0.5598958333333334,0.979591836734694,0.0,0.1773815445095092,0.0153411890877813,dsr
26,0.27,0.0453515493317308,0.5598958333333334,0.979591836734694,0.0,0.1655867124173054,0.0174211383886775,dsr
27,0.28,0.0446633493762756,0.5598958333333334,0.979591836734694,0.0,0.1583548981078488,0.0213515068254312,dsr
28,0.29,0.0415794168063453,0.5598958333333334,0.979591836734694,0.0,0.1482169954891922,0.0191694427881937,dsr
29,0.3,0.0430283162372296,0.2371134020618556,0.9897959183673468,0.0,0.1534338387778481,0.0197912170585239,dsr
30,0.31,0.0347660382740993,0.3762886597938144,0.9897959183673468,0.0,0.1419613229525721,0.0,dsr
31,0.32,0.0347541725819933,0.3762886597938144,0.9897959183673468,0.0,0.1419128713764727,0.0,dsr
32,0.33,0.0317537146894911,0.3762886597938144,0.9897959183673468,0.0,0.1296610016487556,0.0,dsr
33,0.34,0.0331578697974271,0.3762886597938144,0.9897959183673468,0.0,0.1353946350061607,0.0,dsr
34,0.35,0.0314008681841386,0.3762886597938144,0.9897959183673468,0.0,0.1282202117518993,0.0,dsr
35,0.36,0.0307962171616464,0.3762886597938144,0.9897959183673468,0.0,0.1257512200767228,0.0,dsr
